A-TOOLS MESH DATA V1.0
Feature-Path: :/features/features/
Screenshot-Path: :/screenshots/screenshots/
N-Samples: 1048576
N-Bins: 256
N-Vox: 32
N-Test-Angles: 8
N-Test-Steps: 256
Ini-Step: -10
End-Step: 10
N-Models: 495
N-Info: 8
----Info----
OFRENDA
NO_ELEMENT
ENTRADA
INVENTARIO
UBICACION
FUNCION
MATERIA PRIMA
DESCRIPCION
----Data----
0CII_0011_0001,CII,011_0001,1937,10-251596,S3-V10,MASCARA,PIEDRA VERDE,????
0CII_0014_0001,CII,014_0001,1945,10-168826,S5-V3,FIGURA ANTROPOMORFA,PIEDRA VERDE,TLALOC
0CII_0018_0001,CII,018_0001,1946,10-168798,CII-P62,MASCARA,PIEDRA VERDE,????
0CII_0018_0002,CII,018_0002,2522,10-220316,S5-V3,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0CII_0020_0001,CII,020_0001,1948,10-251400,CII-P-39,MASCARA,PIEDRA VERDE,????
0CII_0024_0001,CII,024_0001,1961,10-252103,S3-V10,MASCARA,PIEDRA VERDE,????
0CII_0027_0001,CII,027_0001,1964,10-251610,CAMII-P36,MASCARA,PIEDRA VERDE,????
0CII_0028_0001,CII,028_0001,1967,10-168827,S3-V3,FIGURA ANTROPOMORFA,PIEDRA BLANCA,XIUHTECUHTLI
0CII_0030_0001,CII,030_0001,1969,10-220277,S2-V14,MASCARA,PIEDRA VERDE,????
0CII_0031_0001,CII,031_0001,1970,10-251614,CII-P12,MASCARA,PIEDRA VERDE,????
0CII_0032_0001,CII,032_0001,1989,10-252099,CAMII-P13,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0CII_0034_0001,CII,034_0001,1991,10-251622,CRII-P33,FIGURA ANTROPOMORFA,PIEDRA VERDE,????
0CII_0036_0001,CII,036_0001,1993,10-168800,S3-V8,MASCARA,PIEDRA VERDE,????
0CII_0040_0001,CII,040_0001,2012,10-220264,CR2-P42,MASCARA,PIEDRA VERDE,????
0CII_0041_0001,CII,041_0001,2016,10-251625,CR2-P07,MASCARA,PIEDRA VERDE,????
0CII_0043_0001,CII,043_0001,2018,10-220241,S2-V14,MASCARA,PIEDRA VERDE,????
0CII_0045_0001,CII,045_0001,2022,10-220265,S3-V9,MASCARA,PIEDRA VERDE,????
0CII_0047_0001,CII,047_0001,2025,10-251624,CR2-P35,MASCARA,PIEDRA VERDE,????
0CII_0048_0001,CII,048_0001,2026,10-252104,CII-P13,MASCARA,PIEDRA VERDE,????
